n_guided,n_free,feeders_1,feeders_2,drop_1,drop_2,is_guided_1,is_guided_2,is_guided_3,is_guided_4,is_guided_5,is_guided_6,is_guided_7,is_guided_8,is_guided_9,is_guided_10,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,releasetime_1,releasetime_2,filename,date,time,delaytime,folderdate,rat,foldername,n_games,str_date,str_time,datetime,version,homebase15
3,1,4,6,3,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,6,6,6,4,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,3,NaN,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200809,170527,0,80920,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/080920,87,20200809,170527,09-Aug-2020 17:05:27,ee_alterhb,1
3,6,2,8,3,1,1,1,1,0,0,0,0,0,0,NaN,8,2,2,2,8,2,8,8,8,NaN,1,3,3,3,1,3,1,1,1,NaN,200,200,Game1,20200809,170527,0,80920,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/080920,87,20200809,170527,09-Aug-2020 17:05:27,ee_alterhb,2
4,6,4,6,1,3,1,1,1,1,0,0,0,0,0,0,6,6,4,4,4,4,4,4,4,4,3,3,1,1,1,1,1,1,1,1,200,200,Game1,20200810,114527,0,81020,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081020,95,20200810,114527,10-Aug-2020 11:45:27,ee_alterhb,1
4,1,2,8,3,1,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,8,2,2,8,NaN,NaN,NaN,NaN,NaN,1,1,3,3,1,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200810,114527,0,81020,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081020,95,20200810,114527,10-Aug-2020 11:45:27,ee_alterhb,2
4,6,4,6,3,1,1,1,1,1,0,0,0,0,0,0,6,4,6,6,4,4,4,4,4,4,1,3,1,1,3,3,3,3,3,3,200,200,Game1,20200810,114527,0,81020,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081020,95,20200810,114527,10-Aug-2020 11:45:27,ee_alterhb,1
4,1,2,8,1,3,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,8,2,2,8,NaN,NaN,NaN,NaN,NaN,3,3,1,1,3,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200810,114527,0,81020,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081020,95,20200810,114527,10-Aug-2020 11:45:27,ee_alterhb,2
4,6,4,6,3,1,1,1,1,1,0,0,0,0,0,0,6,4,4,4,4,4,4,4,4,4,1,3,3,3,3,3,3,3,3,3,200,200,Game1,20200810,114527,0,81020,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081020,95,20200810,114527,10-Aug-2020 11:45:27,ee_alterhb,1
4,6,4,6,1,3,1,1,1,1,0,0,0,0,0,0,6,4,4,6,4,6,4,4,4,4,3,1,1,3,1,3,1,1,1,1,200,200,Game1,20200811,115239,0,81120,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081120,69,20200811,115239,11-Aug-2020 11:52:39,ee_alterhb,1
4,1,2,8,3,1,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,2,8,2,8,NaN,NaN,NaN,NaN,NaN,1,3,1,3,1,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200811,115239,0,81120,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081120,69,20200811,115239,11-Aug-2020 11:52:39,ee_alterhb,2
4,6,4,6,3,1,1,1,1,1,0,0,0,0,0,0,6,6,4,4,4,4,4,4,4,4,1,1,3,3,3,3,3,3,3,3,200,200,Game1,20200811,115239,0,81120,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081120,69,20200811,115239,11-Aug-2020 11:52:39,ee_alterhb,1
4,1,2,8,1,3,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,2,8,8,8,NaN,NaN,NaN,NaN,NaN,3,1,3,3,3,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200811,115239,0,81120,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081120,69,20200811,115239,11-Aug-2020 11:52:39,ee_alterhb,2
4,1,4,6,1,3,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,6,4,4,6,6,NaN,NaN,NaN,NaN,NaN,3,1,1,3,3,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200812,121433,0,81220,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081220,110,20200812,121433,12-Aug-2020 12:14:33,ee_alterhb,1
4,6,2,8,3,1,1,1,1,1,0,0,0,0,0,0,8,8,2,8,2,2,8,8,8,8,1,1,3,1,3,3,1,1,1,1,200,200,Game1,20200812,121433,0,81220,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081220,110,20200812,121433,12-Aug-2020 12:14:33,ee_alterhb,2
4,1,4,6,3,1,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,6,6,4,6,4,NaN,NaN,NaN,NaN,NaN,1,1,3,1,3,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200812,121433,0,81220,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081220,110,20200812,121433,12-Aug-2020 12:14:33,ee_alterhb,1
4,6,2,8,1,3,1,1,1,1,0,0,0,0,0,0,8,2,8,2,8,8,8,2,8,8,3,1,3,1,3,3,3,1,3,3,200,200,Game1,20200812,121433,0,81220,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081220,110,20200812,121433,12-Aug-2020 12:14:33,ee_alterhb,2
4,1,4,6,3,1,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,4,6,4,4,4,NaN,NaN,NaN,NaN,NaN,3,1,3,3,3,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200812,121433,0,81220,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081220,110,20200812,121433,12-Aug-2020 12:14:33,ee_alterhb,1
4,6,2,8,3,1,1,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,200,200,Game1,20200812,121433,0,81220,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081220,110,20200812,121433,12-Aug-2020 12:14:33,ee_alterhb,2
4,1,4,6,3,1,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,4,6,6,6,4,NaN,NaN,NaN,NaN,NaN,3,1,1,1,3,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200812,121433,0,81220,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081220,110,20200812,121433,12-Aug-2020 12:14:33,ee_alterhb,1
4,1,4,6,3,1,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,6,6,6,4,4,NaN,NaN,NaN,NaN,NaN,1,1,1,3,3,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200813,121754,0,81320,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081320,103,20200813,121754,13-Aug-2020 12:17:54,ee_alterhb,1
4,6,2,8,3,1,1,1,1,1,0,0,0,0,0,0,2,8,2,2,8,8,8,8,8,8,3,1,3,3,1,1,1,1,1,1,200,200,Game1,20200813,121754,0,81320,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081320,103,20200813,121754,13-Aug-2020 12:17:54,ee_alterhb,2
4,1,4,6,1,3,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,6,4,6,4,4,NaN,NaN,NaN,NaN,NaN,3,1,3,1,1,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200813,121754,0,81320,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081320,103,20200813,121754,13-Aug-2020 12:17:54,ee_alterhb,1
4,6,2,8,1,3,1,1,1,1,0,0,0,0,0,0,2,8,2,2,2,2,8,2,2,8,1,3,1,1,1,1,3,1,1,3,200,200,Game1,20200813,121754,0,81320,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081320,103,20200813,121754,13-Aug-2020 12:17:54,ee_alterhb,2
4,1,4,6,1,3,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,4,6,4,6,4,NaN,NaN,NaN,NaN,NaN,1,3,1,3,1,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200813,121754,0,81320,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081320,103,20200813,121754,13-Aug-2020 12:17:54,ee_alterhb,1
4,6,2,8,3,1,1,1,1,1,0,0,0,0,0,0,8,8,2,2,8,2,8,8,8,8,1,1,3,3,1,3,1,1,1,1,200,200,Game1,20200813,121754,0,81320,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081320,103,20200813,121754,13-Aug-2020 12:17:54,ee_alterhb,2
4,6,4,6,1,3,1,1,1,1,0,0,0,0,0,0,4,4,6,6,4,4,4,4,4,4,1,1,3,3,1,1,1,1,1,1,200,200,Game1,20200814,123601,0,81420,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081420,128,20200814,123601,14-Aug-2020 12:36:01,ee_alterhb,1
4,1,2,8,1,3,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,2,8,8,8,NaN,NaN,NaN,NaN,NaN,3,1,3,3,3,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200814,123601,0,81420,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081420,128,20200814,123601,14-Aug-2020 12:36:01,ee_alterhb,2
4,6,4,6,1,3,1,1,1,1,0,0,0,0,0,0,6,4,6,4,4,4,4,4,4,4,3,1,3,1,1,1,1,1,1,1,200,200,Game1,20200814,123601,0,81420,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081420,128,20200814,123601,14-Aug-2020 12:36:01,ee_alterhb,1
4,1,2,8,1,3,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,8,8,8,8,NaN,NaN,NaN,NaN,NaN,3,3,3,3,3,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200814,123601,0,81420,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081420,128,20200814,123601,14-Aug-2020 12:36:01,ee_alterhb,2
4,6,4,6,1,3,1,1,1,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,200,200,Game1,20200814,123601,0,81420,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081420,128,20200814,123601,14-Aug-2020 12:36:01,ee_alterhb,1
4,1,2,8,3,1,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,2,8,2,8,NaN,NaN,NaN,NaN,NaN,1,3,1,3,1,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200814,123601,0,81420,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081420,128,20200814,123601,14-Aug-2020 12:36:01,ee_alterhb,2
4,6,4,6,3,1,1,1,1,1,0,0,0,0,0,0,4,4,4,6,4,4,4,4,4,4,3,3,3,1,3,3,3,3,3,3,200,200,Game1,20200814,123601,0,81420,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081420,128,20200814,123601,14-Aug-2020 12:36:01,ee_alterhb,1
4,6,4,6,3,1,1,1,1,1,0,0,0,0,0,0,6,6,4,4,4,4,4,4,4,4,1,1,3,3,3,3,3,3,3,3,200,200,Game1,20200816,181252,0,81620,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081620,127,20200816,181252,16-Aug-2020 18:12:52,ee_alterhb,1
4,1,2,8,1,3,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,2,8,8,8,8,NaN,NaN,NaN,NaN,NaN,1,3,3,3,3,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200816,181252,0,81620,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081620,127,20200816,181252,16-Aug-2020 18:12:52,ee_alterhb,2
4,6,4,6,1,3,1,1,1,1,0,0,0,0,0,0,6,6,6,4,4,4,4,4,4,4,3,3,3,1,1,1,1,1,1,1,200,200,Game1,20200816,181252,0,81620,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081620,127,20200816,181252,16-Aug-2020 18:12:52,ee_alterhb,1
4,1,2,8,3,1,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,2,8,8,2,8,NaN,NaN,NaN,NaN,NaN,3,1,1,3,1,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200816,181252,0,81620,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081620,127,20200816,181252,16-Aug-2020 18:12:52,ee_alterhb,2
4,6,4,6,3,1,1,1,1,1,0,0,0,0,0,0,6,6,6,4,4,4,4,4,4,4,1,1,1,3,3,3,3,3,3,3,200,200,Game1,20200816,181252,0,81620,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081620,127,20200816,181252,16-Aug-2020 18:12:52,ee_alterhb,1
4,1,2,8,1,3,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,8,8,8,8,NaN,NaN,NaN,NaN,NaN,3,3,3,3,3,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200816,181252,0,81620,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081620,127,20200816,181252,16-Aug-2020 18:12:52,ee_alterhb,2
4,6,4,6,1,3,1,1,1,1,0,0,0,0,0,0,4,6,4,6,4,4,4,6,4,4,1,3,1,3,1,1,1,3,1,1,200,200,Game1,20200816,181252,0,81620,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081620,127,20200816,181252,16-Aug-2020 18:12:52,ee_alterhb,1
4,1,4,6,0,2,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,6,6,6,4,6,NaN,NaN,NaN,NaN,NaN,2,2,2,0,2,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200817,113721,0,81720,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081720,115,20200817,113721,17-Aug-2020 11:37:21,ee_alterhb,1
4,6,2,8,1,0,1,1,1,1,0,0,0,0,0,0,8,2,2,8,8,8,2,8,8,8,0,1,1,0,0,0,1,0,0,0,200,200,Game1,20200817,113721,0,81720,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081720,115,20200817,113721,17-Aug-2020 11:37:21,ee_alterhb,2
4,1,4,6,3,1,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,4,6,6,6,4,NaN,NaN,NaN,NaN,NaN,3,1,1,1,3,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200817,113721,0,81720,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081720,115,20200817,113721,17-Aug-2020 11:37:21,ee_alterhb,1
4,6,2,8,3,2,1,1,1,1,0,0,0,0,0,0,2,2,2,2,8,8,8,8,8,8,3,3,3,3,2,2,2,2,2,2,200,200,Game1,20200817,113721,0,81720,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081720,115,20200817,113721,17-Aug-2020 11:37:21,ee_alterhb,2
4,1,4,6,1,0,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,4,4,6,6,4,NaN,NaN,NaN,NaN,NaN,1,1,0,0,1,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200817,113721,0,81720,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081720,115,20200817,113721,17-Aug-2020 11:37:21,ee_alterhb,1
4,6,2,8,3,0,1,1,1,1,0,0,0,0,0,0,8,2,8,2,8,8,8,8,2,8,0,3,0,3,0,0,0,0,3,0,200,200,Game1,20200817,113721,0,81720,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081720,115,20200817,113721,17-Aug-2020 11:37:21,ee_alterhb,2
4,1,4,6,2,1,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,4,4,6,6,4,NaN,NaN,NaN,NaN,NaN,2,2,1,1,2,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200817,113721,0,81720,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081720,115,20200817,113721,17-Aug-2020 11:37:21,ee_alterhb,1
4,6,4,6,2,0,1,1,1,1,0,0,0,0,0,0,6,6,6,6,4,4,4,4,4,4,0,0,0,0,2,2,2,2,2,2,200,200,Game1,20200818,114931,0,81820,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081820,167,20200818,114931,18-Aug-2020 11:49:31,ee_alterhb,1
4,1,2,8,0,1,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,2,8,2,2,8,NaN,NaN,NaN,NaN,NaN,0,1,0,0,1,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200818,114931,0,81820,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081820,167,20200818,114931,18-Aug-2020 11:49:31,ee_alterhb,2
4,6,4,6,0,2,1,1,1,1,0,0,0,0,0,0,4,6,4,6,4,4,4,4,4,4,0,2,0,2,0,0,0,0,0,0,200,200,Game1,20200818,114931,0,81820,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081820,167,20200818,114931,18-Aug-2020 11:49:31,ee_alterhb,1
4,1,2,8,3,2,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,2,8,8,8,8,NaN,NaN,NaN,NaN,NaN,3,2,2,2,2,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200818,114931,0,81820,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081820,167,20200818,114931,18-Aug-2020 11:49:31,ee_alterhb,2
4,6,4,6,1,2,1,1,1,1,0,0,0,0,0,0,4,4,6,6,4,4,4,4,4,4,1,1,2,2,1,1,1,1,1,1,200,200,Game1,20200818,114931,0,81820,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081820,167,20200818,114931,18-Aug-2020 11:49:31,ee_alterhb,1
4,1,2,8,3,2,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,2,8,8,2,8,NaN,NaN,NaN,NaN,NaN,3,2,2,3,2,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200818,114931,0,81820,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081820,167,20200818,114931,18-Aug-2020 11:49:31,ee_alterhb,2
4,6,4,6,0,1,1,1,1,1,0,0,0,0,0,0,4,4,4,6,4,4,4,4,4,4,0,0,0,1,0,0,0,0,0,0,200,200,Game1,20200818,114931,0,81820,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081820,167,20200818,114931,18-Aug-2020 11:49:31,ee_alterhb,1
4,1,2,8,2,3,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,2,2,2,8,NaN,NaN,NaN,NaN,NaN,3,2,2,2,3,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200818,114931,0,81820,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081820,167,20200818,114931,18-Aug-2020 11:49:31,ee_alterhb,2
4,6,4,6,1,3,1,1,1,1,0,0,0,0,0,0,6,6,6,6,4,4,4,4,6,4,3,3,3,3,1,1,1,1,3,1,200,200,Game1,20200818,114931,0,81820,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081820,167,20200818,114931,18-Aug-2020 11:49:31,ee_alterhb,1
4,1,2,8,3,1,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,8,2,8,8,8,NaN,NaN,NaN,NaN,NaN,1,3,1,1,1,NaN,NaN,NaN,NaN,NaN,200,200,Game1,20200818,114931,0,81820,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081820,167,20200818,114931,18-Aug-2020 11:49:31,ee_alterhb,2
4,1,4,6,3,0,1,1,1,1,0,NaN,NaN,NaN,NaN,NaN,4,6,6,4,4,NaN,NaN,NaN,NaN,NaN,3,0,0,3,3,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20200819,115559,0,81920,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081920,288,20200819,115559,19-Aug-2020 11:55:59,ee_alterhb,1
4,6,2,8,1,0,1,1,1,1,0,0,0,0,0,0,2,8,2,8,8,8,8,8,8,2,1,0,1,0,0,0,0,0,0,1,100,100,Game1,20200819,115559,0,81920,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/081920,288,20200819,115559,19-Aug-2020 11:55:59,ee_alterhb,2
